Character,BASHIR,DAMAR,DAX,DUKAT,EZRI,GARAK,JAKE,KEIKO,KIRA,MARTOK,NOG,ODO,O'BRIEN,QUARK,ROM,SISKO,WEYOUN,WINN,WORF,ZEK,lines,ep,season,title
GARAK,10,0,0,0,101,2,0,0,0,0,0,4,3,1,0,5,0,0,0,0,66,150,7,Afterimage
JAKE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,150,7,Afterimage
KIRA,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,7,Afterimage
ODO,4,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8,150,7,Afterimage
O'BRIEN,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,11,0,9,150,7,Afterimage
QUARK,22,0,0,0,21,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,26,150,7,Afterimage
SISKO,2,0,0,0,86,5,1,0,0,0,0,2,0,1,0,4,0,0,0,0,54,150,7,Afterimage
WORF,11,0,0,0,23,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,25,150,7,Afterimage
BASHIR,2,0,0,0,7,0,2,0,1,0,0,0,19,0,3,9,0,0,1,0,26,151,7,Take Me Out To The Holosuite
EZRI,7,0,0,0,0,0,0,0,1,0,0,1,5,2,0,5,0,0,0,0,17,151,7,Take Me Out To The Holosuite
JAKE,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,13,0,0,0,0,11,151,7,Take Me Out To The Holosuite
KIRA,1,0,0,0,1,0,0,0,0,0,3,1,0,4,3,11,0,0,3,0,16,151,7,Take Me Out To The Holosuite
NOG,0,0,0,0,0,0,2,0,3,0,0,3,4,2,9,10,0,0,3,0,22,151,7,Take Me Out To The Holosuite
ODO,0,0,0,0,1,0,1,0,1,0,3,12,4,0,2,34,0,0,6,0,38,151,7,Take Me Out To The Holosuite
O'BRIEN,19,0,0,0,5,0,1,0,0,0,4,4,2,5,1,9,0,0,2,0,29,151,7,Take Me Out To The Holosuite
QUARK,0,0,0,0,2,0,0,0,4,0,2,0,5,0,5,1,0,0,0,0,15,151,7,Take Me Out To The Holosuite
ROM,3,0,0,0,0,0,1,0,3,0,9,2,1,5,0,18,0,0,0,0,26,151,7,Take Me Out To The Holosuite
SISKO,9,0,0,0,5,0,13,0,11,0,10,34,9,1,18,4,0,0,9,0,108,151,7,Take Me Out To The Holosuite
WORF,1,0,0,0,0,0,0,0,3,0,3,6,2,0,0,9,0,0,0,0,13,151,7,Take Me Out To The Holosuite
BASHIR,4,0,0,0,12,0,0,0,0,0,13,2,41,1,0,25,0,0,0,0,146,152,7,Chrysalis
EZRI,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,152,7,Chrysalis
KIRA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,152,7,Chrysalis
NOG,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,7,Chrysalis
ODO,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,152,7,Chrysalis
O'BRIEN,41,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,26,152,7,Chrysalis
QUARK,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,152,7,Chrysalis
SISKO,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,152,7,Chrysalis
BASHIR,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,7,153,7,"Treachery, Faith and the Great River"
DAMAR,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,153,7,"Treachery, Faith and the Great River"
EZRI,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,153,7,"Treachery, Faith and the Great River"
KIRA,3,0,0,0,1,0,0,0,2,1,0,8,9,0,0,0,0,0,0,0,13,153,7,"Treachery, Faith and the Great River"
MARTOK,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,7,153,7,"Treachery, Faith and the Great River"
NOG,0,0,0,0,0,0,0,0,0,0,2,0,84,2,0,2,0,0,1,0,47,153,7,"Treachery, Faith and the Great River"
ODO,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,134,0,0,0,79,153,7,"Treachery, Faith and the Great River"
O'BRIEN,10,0,0,0,2,0,0,0,9,8,84,0,0,2,10,20,0,0,4,0,80,153,7,"Treachery, Faith and the Great River"
QUARK,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,4,153,7,"Treachery, Faith and the Great River"
ROM,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,153,7,"Treachery, Faith and the Great River"
SISKO,0,0,0,0,0,0,0,0,0,0,2,0,20,3,0,0,0,0,0,0,13,153,7,"Treachery, Faith and the Great River"
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,10,0,0,0,78,153,7,"Treachery, Faith and the Great River"
WORF,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,4,153,7,"Treachery, Faith and the Great River"
EZRI,0,0,0,0,0,0,0,0,10,0,0,1,0,10,0,0,0,0,1,0,13,154,7,Once More Unto The Breach
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,154,7,Once More Unto The Breach
KIRA,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,154,7,Once More Unto The Breach
MARTOK,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,52,0,72,154,7,Once More Unto The Breach
ODO,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,154,7,Once More Unto The Breach
QUARK,0,0,0,0,10,0,6,0,1,0,0,3,0,2,0,0,0,0,0,0,12,154,7,Once More Unto The Breach
SISKO,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,154,7,Once More Unto The Breach
WORF,0,0,0,0,1,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,51,154,7,Once More Unto The Breach
BASHIR,2,0,0,0,5,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,17,155,7,Siege of AR-558
EZRI,5,0,0,0,2,0,0,0,0,0,2,0,0,12,0,6,0,0,0,0,29,155,7,Siege of AR-558
KIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,155,7,Siege of AR-558
NOG,1,0,0,0,2,0,0,0,0,0,2,0,1,28,0,26,0,0,0,0,36,155,7,Siege of AR-558
ODO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,155,7,Siege of AR-558
O'BRIEN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,3,155,7,Siege of AR-558
QUARK,4,0,0,0,12,0,0,0,0,0,28,0,0,2,0,22,0,0,3,0,42,155,7,Siege of AR-558
SISKO,2,0,0,0,6,0,0,0,9,0,26,3,2,22,0,4,0,0,14,0,84,155,7,Siege of AR-558
WORF,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,14,0,0,0,0,13,155,7,Siege of AR-558
DUKAT,0,0,0,12,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,65,156,7,Covenant
KIRA,0,0,0,60,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,92,156,7,Covenant
ODO,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,4,0,0,0,0,9,156,7,Covenant
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,4,156,7,Covenant
SISKO,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,4,156,7,Covenant
WORF,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,156,7,Covenant
BASHIR,0,0,0,0,1,0,1,0,0,0,6,1,1,2,2,1,0,0,0,0,8,157,7,It's Only A_Paper Moon
EZRI,1,0,0,0,0,0,2,0,2,0,20,0,0,3,4,10,0,0,0,0,42,157,7,It's Only A_Paper Moon
JAKE,1,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,157,7,It's Only A_Paper Moon
KIRA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,157,7,It's Only A_Paper Moon
NOG,6,0,0,0,20,0,20,0,0,0,2,0,9,1,8,2,0,0,0,0,133,157,7,It's Only A_Paper Moon
ODO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,157,7,It's Only A_Paper Moon
O'BRIEN,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,6,157,7,It's Only A_Paper Moon
QUARK,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,157,7,It's Only A_Paper Moon
ROM,2,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,157,7,It's Only A_Paper Moon
SISKO,1,0,0,0,10,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,10,157,7,It's Only A_Paper Moon
BASHIR,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,158,7,Prodigal Daughter
EZRI,8,0,0,0,0,0,0,0,0,0,0,0,42,0,0,17,0,0,0,0,105,158,7,Prodigal Daughter
O'BRIEN,0,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,45,158,7,Prodigal Daughter
SISKO,20,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,158,7,Prodigal Daughter
BASHIR,0,0,0,0,4,0,0,0,0,0,0,0,17,3,4,0,0,0,0,0,17,159,7,The Emperor's New Cloak
EZRI,4,0,0,0,0,2,0,0,15,0,0,0,4,73,24,0,0,0,2,7,74,159,7,The Emperor's New Cloak
GARAK,0,0,0,0,2,2,0,0,2,0,0,0,0,12,14,0,0,0,20,4,31,159,7,The Emperor's New Cloak
KIRA,0,0,0,0,15,2,0,0,0,0,0,0,0,2,3,0,0,0,12,13,31,159,7,The Emperor's New Cloak
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,6,159,7,The Emperor's New Cloak
ODO,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,6,159,7,The Emperor's New Cloak
O'BRIEN,17,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,15,159,7,The Emperor's New Cloak
QUARK,3,0,0,0,73,12,0,0,2,5,0,11,2,8,67,3,0,0,5,9,115,159,7,The Emperor's New Cloak
ROM,4,0,0,0,24,14,0,0,3,1,0,1,4,67,4,1,0,0,6,13,82,159,7,The Emperor's New Cloak
SISKO,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,2,0,0,0,0,6,159,7,The Emperor's New Cloak
WORF,0,0,0,0,2,20,0,0,12,0,0,0,0,5,6,0,0,0,2,0,31,159,7,The Emperor's New Cloak
ZEK,0,0,0,0,7,4,0,0,13,0,0,0,0,9,13,0,0,0,0,0,24,159,7,The Emperor's New Cloak
BASHIR,0,0,0,0,32,0,0,0,0,0,0,7,21,0,0,5,0,0,0,0,35,160,7,Field of Fire
EZRI,32,0,0,0,6,0,0,0,0,0,0,16,8,3,0,17,0,0,21,0,154,160,7,Field of Fire
ODO,7,0,0,0,16,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,32,160,7,Field of Fire
O'BRIEN,21,0,0,0,8,0,0,0,0,0,0,14,2,0,0,7,0,0,0,0,27,160,7,Field of Fire
QUARK,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,7,Field of Fire
SISKO,5,0,0,0,17,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,28,160,7,Field of Fire
WORF,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,160,7,Field of Fire
BASHIR,0,0,0,0,2,0,0,0,3,0,0,2,6,2,0,0,0,0,0,0,8,161,7,Chimera
EZRI,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,4,161,7,Chimera
KIRA,3,0,0,0,1,0,0,0,6,0,0,53,0,0,0,2,0,0,2,0,42,161,7,Chimera
ODO,2,0,0,0,1,0,0,0,53,0,0,4,8,7,0,34,0,0,8,0,130,161,7,Chimera
O'BRIEN,6,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,161,7,Chimera
QUARK,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,161,7,Chimera
SISKO,0,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,6,0,23,161,7,Chimera
WORF,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,6,0,0,0,0,8,161,7,Chimera
BASHIR,2,0,0,0,7,0,0,0,8,0,7,2,15,0,0,2,0,0,0,0,40,162,7,"Badda-Bing, Badda-Bang"
EZRI,7,0,0,0,0,0,0,0,1,0,5,4,3,0,0,1,0,0,0,0,24,162,7,"Badda-Bing, Badda-Bang"
KIRA,8,0,0,0,1,0,0,0,0,0,3,5,2,0,0,2,0,0,1,0,39,162,7,"Badda-Bing, Badda-Bang"
NOG,7,0,0,0,5,0,0,0,3,0,0,7,5,0,0,1,0,0,2,0,21,162,7,"Badda-Bing, Badda-Bang"
ODO,2,0,0,0,4,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,21,162,7,"Badda-Bing, Badda-Bang"
O'BRIEN,15,0,0,0,3,0,0,0,2,0,5,0,0,0,0,3,0,0,1,0,37,162,7,"Badda-Bing, Badda-Bang"
QUARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,7,"Badda-Bing, Badda-Bang"
SISKO,2,0,0,0,1,0,0,0,2,0,1,0,3,0,0,2,0,0,0,0,35,162,7,"Badda-Bing, Badda-Bang"
WORF,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,162,7,"Badda-Bing, Badda-Bang"
BASHIR,8,0,0,0,0,15,0,0,0,0,0,2,0,0,0,13,0,0,0,0,123,163,7,Inter Arma Enim Silent Leges
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,7,Inter Arma Enim Silent Leges
GARAK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,163,7,Inter Arma Enim Silent Leges
ODO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,7,Inter Arma Enim Silent Leges
SISKO,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,163,7,Inter Arma Enim Silent Leges
BASHIR,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,8,164,7,Penumbra
DAMAR,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,29,164,7,Penumbra
DUKAT,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,164,7,Penumbra
EZRI,7,0,0,0,8,0,0,0,2,0,0,0,2,15,0,5,0,0,101,0,89,164,7,Penumbra
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8,164,7,Penumbra
KIRA,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,7,164,7,Penumbra
ODO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,164,7,Penumbra
O'BRIEN,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,164,7,Penumbra
QUARK,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,164,7,Penumbra
SISKO,1,0,0,0,5,0,15,0,7,0,0,3,0,0,0,2,0,0,0,0,51,164,7,Penumbra
WEYOUN,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,164,7,Penumbra
WORF,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,63,164,7,Penumbra
BASHIR,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,165,7,Till Death Us Do Part
DAMAR,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,165,7,Till Death Us Do Part
DUKAT,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,38,165,7,Till Death Us Do Part
EZRI,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,47,165,7,Till Death Us Do Part
JAKE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,5,165,7,Till Death Us Do Part
KIRA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13,0,7,0,0,13,165,7,Till Death Us Do Part
NOG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,165,7,Till Death Us Do Part
ODO,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,165,7,Till Death Us Do Part
O'BRIEN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,165,7,Till Death Us Do Part
QUARK,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,5,165,7,Till Death Us Do Part
SISKO,0,0,0,0,0,0,7,0,13,0,0,0,0,3,0,0,0,16,0,0,40,165,7,Till Death Us Do Part
WEYOUN,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,165,7,Till Death Us Do Part
WINN,0,0,0,63,0,0,0,0,7,0,0,0,0,0,0,16,0,2,0,0,55,165,7,Till Death Us Do Part
WORF,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,165,7,Till Death Us Do Part
BASHIR,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,5,166,7,Strange Bedfellows
DAMAR,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,57,0,4,0,41,166,7,Strange Bedfellows
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,31,166,7,Strange Bedfellows
EZRI,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,59,0,40,166,7,Strange Bedfellows
KIRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,24,0,0,15,166,7,Strange Bedfellows
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,166,7,Strange Bedfellows
ODO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,166,7,Strange Bedfellows
O'BRIEN,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,166,7,Strange Bedfellows
QUARK,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,166,7,Strange Bedfellows
SISKO,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,2,0,3,0,0,16,166,7,Strange Bedfellows
WEYOUN,0,57,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,166,7,Strange Bedfellows
WINN,0,0,0,60,0,0,0,0,24,0,0,0,0,0,0,3,0,6,0,0,55,166,7,Strange Bedfellows
WORF,0,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,166,7,Strange Bedfellows
BASHIR,0,0,0,0,0,0,0,0,3,0,2,0,15,5,0,0,0,0,2,0,14,167,7,The Changing Face of Evil
DAMAR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,31,167,7,The Changing Face of Evil
DUKAT,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,167,7,The Changing Face of Evil
EZRI,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,14,0,10,167,7,The Changing Face of Evil
KIRA,3,0,0,0,1,0,0,0,0,0,4,0,5,0,0,6,0,0,0,0,12,167,7,The Changing Face of Evil
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,167,7,The Changing Face of Evil
NOG,2,0,0,0,1,0,0,0,4,0,0,0,2,0,0,1,0,0,5,0,8,167,7,The Changing Face of Evil
ODO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,167,7,The Changing Face of Evil
O'BRIEN,15,0,0,0,3,0,0,0,5,1,2,0,0,2,0,7,0,0,2,0,19,167,7,The Changing Face of Evil
QUARK,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,167,7,The Changing Face of Evil
SISKO,0,1,0,0,0,0,0,0,6,4,1,5,7,0,0,0,0,0,6,0,43,167,7,The Changing Face of Evil
WEYOUN,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,167,7,The Changing Face of Evil
WINN,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,167,7,The Changing Face of Evil
WORF,2,0,0,0,14,0,0,0,0,0,5,0,2,0,0,6,0,0,0,0,15,167,7,The Changing Face of Evil
BASHIR,0,0,0,0,22,0,0,0,0,0,0,17,64,3,0,0,0,0,0,0,56,168,7,When It Rains...
DAMAR,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,11,168,7,When It Rains...
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,18,168,7,When It Rains...
EZRI,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,168,7,When It Rains...
GARAK,0,1,0,0,0,0,0,0,12,0,0,8,0,0,0,3,0,0,0,0,18,168,7,When It Rains...
KIRA,0,5,0,0,0,12,0,0,0,0,0,21,0,0,0,10,0,0,0,0,33,168,7,When It Rains...
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,16,168,7,When It Rains...
ODO,17,2,0,0,0,8,0,0,21,0,0,2,0,0,0,0,0,0,0,0,31,168,7,When It Rains...
O'BRIEN,64,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,40,168,7,When It Rains...
QUARK,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,168,7,When It Rains...
SISKO,0,0,0,0,0,3,0,0,10,1,0,0,0,0,0,4,0,0,0,0,17,168,7,When It Rains...
WINN,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,168,7,When It Rains...
WORF,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,168,7,When It Rains...
BASHIR,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,16,169,7,Tacking Into The Wind
DAMAR,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,169,7,Tacking Into The Wind
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,169,7,Tacking Into The Wind
GARAK,0,3,0,0,0,0,0,0,32,0,0,17,0,0,0,0,0,0,0,0,39,169,7,Tacking Into The Wind
KIRA,0,7,0,0,0,32,0,0,6,0,0,13,0,0,0,0,0,0,0,0,42,169,7,Tacking Into The Wind
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,169,7,Tacking Into The Wind
ODO,0,0,0,0,0,17,0,0,13,0,0,4,0,0,0,0,0,0,0,0,20,169,7,Tacking Into The Wind
O'BRIEN,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,169,7,Tacking Into The Wind
SISKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,169,7,Tacking Into The Wind
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,169,7,Tacking Into The Wind
WORF,0,0,0,0,19,0,0,0,0,16,0,0,0,0,0,18,0,0,2,0,33,169,7,Tacking Into The Wind
BASHIR,4,0,0,0,1,0,0,0,1,0,0,15,203,0,0,22,0,0,2,0,168,170,7,Extreme Measures
EZRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,170,7,Extreme Measures
GARAK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,170,7,Extreme Measures
KIRA,1,0,0,0,0,1,0,0,2,0,0,20,1,0,0,1,0,0,0,0,13,170,7,Extreme Measures
ODO,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,19,170,7,Extreme Measures
O'BRIEN,203,0,0,0,0,0,0,0,1,0,0,0,10,0,0,10,0,0,1,0,132,170,7,Extreme Measures
SISKO,22,0,0,0,4,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,21,170,7,Extreme Measures
WORF,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,170,7,Extreme Measures
BASHIR,0,0,0,0,43,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,32,171,7,The Dogs Of War
DAMAR,0,2,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,21,171,7,The Dogs Of War
EZRI,43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,171,7,The Dogs Of War
GARAK,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,171,7,The Dogs Of War
KIRA,0,17,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,171,7,The Dogs Of War
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,171,7,The Dogs Of War
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,171,7,The Dogs Of War
ODO,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,171,7,The Dogs Of War
O'BRIEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,171,7,The Dogs Of War
QUARK,0,0,0,0,0,0,0,0,1,0,3,0,0,0,42,0,0,0,0,23,63,171,7,The Dogs Of War
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,4,28,171,7,The Dogs Of War
SISKO,1,0,0,0,1,0,0,0,0,3,0,7,1,0,0,0,0,0,0,0,24,171,7,The Dogs Of War
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,171,7,The Dogs Of War
WORF,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,171,7,The Dogs Of War
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,18,171,7,The Dogs Of War
BASHIR,2,0,0,0,21,9,1,0,0,0,1,0,37,1,0,2,0,0,3,0,42,172,7,What You Leave Behind (parts 1 & 2)
DAMAR,0,2,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,22,172,7,What You Leave Behind (parts 1 & 2)
DUKAT,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,45,0,0,36,172,7,What You Leave Behind (parts 1 & 2)
EZRI,21,0,0,0,0,0,1,0,0,2,3,2,0,0,0,9,0,0,13,0,29,172,7,What You Leave Behind (parts 1 & 2)
GARAK,9,11,0,0,0,2,0,0,31,0,0,7,0,0,0,0,4,0,0,0,49,172,7,What You Leave Behind (parts 1 & 2)
JAKE,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,5,0,0,1,0,8,172,7,What You Leave Behind (parts 1 & 2)
